customer_key,customer_id,customer_name,segment,city,state,country,postal_code
1,RH-19495,Rick Hansen,Consumer,New York City,New York,France,10024.0
2,JR-16210,Justin Ritter,Corporate,Springfield,England,United States,97477.0
3,CR-12730,Craig Reiter,Consumer,Brisbane,Queensland,Brazil,43229.0
4,KM-16375,Katherine Murray,Home Office,Tegucigalpa,Francisco Morazán,United States,85234.0
5,RH-9495,Rick Hansen,Consumer,L'viv,L'viv,Ukraine,
6,JM-15655,Jim Mitchum,Corporate,Florence,New South Wales,United States,88220.0
7,TS-21340,Toby Swindell,Consumer,Maracay,São Paulo,United States,85254.0
8,MB-18085,Mick Brown,Consumer,Querétaro,Querétaro,Mexico,28205.0
9,JW-15220,Jane Waco,Corporate,Lawrence,California,United States,1841.0
10,JH-15985,Joseph Holt,Consumer,Buenos Aires,Buenos Aires,United States,48601.0
11,GM-14695,Greg Maxwell,Corporate,San Salvador,San Salvador,United States,22304.0
12,AJ-10780,Anthony Jacobs,Corporate,Baltimore,Ile-de-France,United States,21215.0
13,MM-7260,Magdelene Morse,Consumer,Jizan,Jizan,Saudi Arabia,
14,VF-21715,Vicky Freymann,Home Office,Culiacán,Sinaloa,United States,98115.0
15,PF-19120,Peter Fuller,Consumer,New York City,New York,United States,10035.0
16,BP-11185,Ben Peterman,Corporate,London,England,United States,80004.0
17,TB-21175,Thomas Boland,Corporate,Mixco,Alagoas,United States,42420.0
18,PJ-18835,Patrick Jones,Corporate,Geelong,Tuscany,United States,10035.0
19,JS-15685,Jim Sink,Corporate,Chinandega,Chinandega,United States,33023.0
20,RH-9555,Ritsa Hightower,Consumer,Riyadh,Ar Riyad,Saudi Arabia,
21,AB-600,Ann Blume,Corporate,Lome,Maritime,Togo,
22,SA-20830,Sue Ann Reed,Consumer,Fresno,California,United States,23223.0
23,JK-15325,Jason Klamczynski,Corporate,Suzhou,Anhui,China,75220.0
24,LB-16795,Laurel Beltran,Home Office,David,California,United States,98105.0
25,NP-18325,Naresj Patel,Consumer,New York City,New York,United States,10024.0
26,VD-21670,Valerie Dominguez,Consumer,Bangkok,Bangkok,United States,84062.0
27,PB-19210,Phillip Breyer,Corporate,Taipei,England,Indonesia,19134.0
28,EB-14110,Eugene Barchas,Consumer,Jakarta,California,United States,19134.0
29,KF-16285,Karen Ferguson,Home Office,Sydney,California,United States,30328.0
30,BP-11230,Benjamin Patterson,Consumer,Barcelona,Catalonia,Australia,74012.0
31,RR-19525,Rick Reed,Corporate,Santo Domingo,Santo Domingo,United States,1852.0
32,BS-11365,Bill Shonely,Corporate,Betim,Minas Gerais,Brazil,8701.0
33,JE-15745,Joel Eaton,Consumer,Florence,California,United States,41042.0
34,DP-13105,Dave Poirier,Corporate,Gold Coast,Queensland,Australia,11550.0
35,NP-18700,Nora Preis,Consumer,Nieuwegein,California,United States,60623.0
36,AH-30,Aaron Hawkins,Corporate,Port Harcourt,Rivers,Nigeria,
37,DM-13015,Darrin Martin,Consumer,New York City,New York,United States,10009.0
38,GT-14635,Grant Thornton,Corporate,Bucheon,Gyeonggi,United Kingdom,11561.0
39,PO-18865,Patrick O'Donnell,Consumer,Santiago de los Caballeros,Santiago,United States,10009.0
40,DL-12865,Dan Lawera,Consumer,Long Beach,California,United States,90805.0
41,JB-16000,Joy Bell-,Consumer,Bogotá,Bogota,Colombia,19140.0
42,BF-11005,Barry Franz,Home Office,Pasadena,California,United States,91104.0
43,VG-21805,Vivek Grady,Corporate,Caucaia,Ceará,Brazil,19140.0
44,GT-14710,Greg Tran,Consumer,Seattle,New York,United States,98105.0
45,ZC-21910,Zuschuss Carroll,Consumer,Tiruppur,Tamil Nadu,United States,97301.0
46,SC-20095,Sanjit Chand,Consumer,Los Angeles,California,United States,55407.0
47,EB-13840,Ellis Ballard,Corporate,Seattle,Sichuan,Germany,98105.0
48,AP-10915,Arthur Prichep,Consumer,Los Angeles,California,United States,90045.0
49,SW-20275,Scott Williamson,Consumer,Canberra,Australian Capital Territory,Australia,10009.0
50,JH-15820,John Huston,Consumer,Cuscatancingo,San Salvador,Australia,44240.0
51,LC-16885,Lena Creighton,Consumer,Roseville,California,United States,95661.0
52,TG-11640,Trudy Glocke,Consumer,London,Ontario,Canada,
53,HR-14830,Harold Ryan,Corporate,New York City,New York,United States,98103.0
54,DG-3300,Deirdre Greer,Corporate,Lagos,Lagos,Nigeria,
55,SG-20470,Sheri Gordon,Consumer,Doetinchem,Gelderland,United States,30318.0
56,FH-14365,Fred Hopkins,Corporate,San Salvador,San Salvador,Mexico,98115.0
57,GP-14740,Guy Phonely,Corporate,Delhi,Delhi,France,1453.0
58,MW-18220,Mitch Webber,Consumer,Hartlepool,England,United States,10011.0
59,PO-18850,Patrick O'Brill,Consumer,Juárez,Chihuahua,United States,19143.0
60,CS-12460,Chuck Sachs,Consumer,Managua,Managua,Germany,10009.0
61,KD-16495,Keith Dawkins,Corporate,San Jose,California,United States,95123.0
62,MS-17980,Michael Stewart,Corporate,La Teste-de-Buch,Aquitaine,United States,19134.0
63,KC-16675,Kimberly Carter,Corporate,Celle,Lower Saxony,Germany,32303.0
64,DB-13405,Denny Blanton,Consumer,New York City,New York,United States,10011.0
65,JD-15895,Jonathan Doherty,Corporate,Columbia,California,United States,29203.0
66,DK-13090,Dave Kipp,Consumer,Clinton,Florida,United States,20735.0
67,CS-11845,Cari Sayre,Corporate,Luoyang,Fujian,United States,98103.0
68,EM-14200,Evan Minnotte,Home Office,Bangkok,Bangkok,Mexico,23464.0
69,DW-3480,Dianna Wilson,Home Office,Accra,Greater Accra,Ghana,
70,AS-10225,Alan Schoenberger,Corporate,Villefontaine,Rhône-Alpes,United States,84604.0
71,ST-20530,Shui Tom,Consumer,Bundaberg,Queensland,United States,19140.0
72,BW-1065,Barry Weirich,Consumer,Kalemie,Katanga,Democratic Republic of the Congo,
73,LA-16780,Laura Armstrong,Corporate,Hackensack,Texas,United States,7601.0
74,AB-10150,Aimee Bixby,Consumer,Yonkers,England,United States,10701.0
75,CM-12385,Christopher Martinez,Consumer,Atlanta,Bahia,United States,30318.0
76,BE-11410,Bobby Elias,Consumer,Chester,England,United Kingdom,33178.0
77,SZ-20035,Sam Zeldin,Home Office,Houston,National Capital,United States,77036.0
78,RM-19375,Raymond Messe,Consumer,San Salvador,San Salvador,El Salvador,5408.0
79,HG-14845,Harry Greene,Consumer,Tilburg,North Brabant,Australia,10024.0
80,DP-3105,Dave Poirier,Corporate,Ankara,Ankara,Morocco,
81,AR-10540,Andy Reiter,Consumer,Jackson,California,United States,49201.0
82,TP-21415,Tom Prescott,Consumer,Houston,Texas,United States,77070.0
83,AM-10705,Anne McFarland,Consumer,Cranston,Rhode Island,United States,2920.0
84,AB-255,Alejandro Ballentine,Home Office,Casablanca,Grand Casablanca,Morocco,
85,RP-19270,Rachel Payne,Corporate,Manila,California,United States,94110.0
86,BK-11260,Berenike Kampe,Consumer,Chicago,California,United States,60610.0
87,JM-15250,Janet Martin,Consumer,Huntsville,Texas,United States,77340.0
88,LW-16990,Lindsay Williams,Corporate,San Francisco,California,United States,94109.0
89,NZ-18565,Nick Zandusky,Home Office,Paris,Ile-de-France,United States,43229.0
90,SV-10815,Stuart Van,Corporate,Homs,Hims,Turkey,
