customer_id,customer_name,segment,country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Label
AA-10315,Alex Avila,Consumer,United States,9,18,13679.59,5,3,4,534,Loyal Customers,2,Mid-Value Active
AA-10375,Allen Armold,Consumer,Mexico,7,18,5793.41,5,3,3,533,Loyal Customers,2,Mid-Value Active
AA-10480,Andrew Allen,Consumer,Thailand,126,20,17605.64,2,3,5,235,At Risk,0,High-Value Customers
AA-10645,Anna Andreadi,Consumer,Indonesia,29,35,15256.3,4,5,5,455,Champions,0,High-Value Customers
AA-315,Alex Avila,Consumer,Belarus,210,4,2207.96,1,1,2,112,Lost Customers,1,Low-Value Occasional
AA-375,Allen Armold,Consumer,Zambia,300,5,567.03,1,1,1,111,Lost Customers,3,Inactive/Churned
AA-480,Andrew Allen,Consumer,Canada,315,5,2055.58,1,1,2,112,Lost Customers,3,Inactive/Churned
AA-645,Anna Andreadi,Consumer,Algeria,52,10,1918.94,3,3,2,332,Potential Loyalists,1,Low-Value Occasional
AB-10015,Aaron Bergman,Consumer,China,17,31,19645.91,4,5,5,455,Champions,0,High-Value Customers
AB-10060,Adam Bellavance,Home Office,United States,43,28,18321.55,3,5,5,355,Loyal Customers,0,High-Value Customers
AB-10105,Adrian Barton,Consumer,United States,28,32,22855.35,4,5,5,455,Champions,0,High-Value Customers
AB-10150,Aimee Bixby,Consumer,United Kingdom,36,24,13009.86,3,4,4,344,Loyal Customers,2,Mid-Value Active
AB-10165,Alan Barnes,Consumer,France,14,29,11605.84,4,5,4,454,Champions,2,Mid-Value Active
AB-10255,Alejandro Ballentine,Home Office,Vietnam,6,28,10676.0,5,5,4,554,Champions,2,Mid-Value Active
AB-105,Adrian Barton,Consumer,Ukraine,44,6,2128.66,3,2,2,322,Potential Loyalists,1,Low-Value Occasional
AB-10600,Ann Blume,Corporate,United States,51,21,13309.41,3,4,4,344,Loyal Customers,2,Mid-Value Active
